arm,birth_threshold,renewal,movement_cost,birth_cost,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,resources_added_by_100,cumulative_uptake_by_100,population_at_100,births_at_100,early_peak_population,first_peak_tick,food_eaten_by_100,food_at_100,organism_energy_at_100,resources_added_by_500,cumulative_uptake_by_500,population_at_500,resources_added_by_5000,cumulative_uptake_by_5000,population_at_5000,resources_added_by_10000,cumulative_uptake_by_10000,extinction_tick,right_censored,founders_on_food,food_under_founders
block,160,frequent-small,0,0,1700,10000,58,897,919,5029,6253,587539,576257,250.0,1,4,20,5576,5151,30,8,80,0,5151,5545,2787,28501,25941,73,289035,287864,68,580499,579366,,True,20,480
block,160,frequent-small,0,0,1701,10000,57,904,927,4856,6893,592323,580574,250.0,1,3,28,5611,5085,31,5,80,0,5085,5646,2400,28647,27239,83,291252,289629,58,585283,583510,,True,28,672
block,160,frequent-small,0,0,1702,10000,62,906,924,4687,6066,591514,580761,250.0,1,2,27,5376,4203,27,7,80,0,4203,6293,2033,27968,25742,76,291117,289903,59,584474,583528,,True,19,440
block,160,frequent-small,0,0,1703,10000,52,935,963,3925,7408,586976,575643,250.0,1,3,25,5641,4853,27,5,80,0,4853,5908,2520,28465,25949,81,288881,285758,49,579936,577648,,True,22,528
block,160,frequent-small,0,0,1704,10000,73,953,960,5809,5612,588873,577452,250.0,1,3,32,5498,4490,24,7,80,0,4490,6128,2280,27735,25274,80,291815,290870,63,581833,581341,,True,23,536
block,160,frequent-small,0,0,1705,10000,59,937,958,4552,6941,584654,573161,250.0,1,2,24,5286,3763,21,8,80,0,3763,6643,2134,26126,20090,61,286004,283195,45,577614,575793,,True,12,288
block,160,frequent-small,0,0,1706,10000,63,909,926,5358,6821,588762,576583,250.0,1,2,29,5251,3851,24,7,80,0,3851,6520,1942,27220,23586,73,289297,287680,55,581722,580021,,True,14,336
block,160,frequent-small,0,0,1707,10000,64,891,907,5482,6238,588069,576349,250.0,1,3,24,5610,4848,29,8,80,0,4848,5882,2453,28237,26490,78,290233,287069,47,581029,579911,,True,23,552
block,160,frequent-small,0,0,1708,10000,56,892,916,4323,6782,587378,576273,250.0,1,2,29,5457,4444,27,5,80,0,4444,6133,2130,27719,23928,70,290030,287265,56,580338,578676,,True,19,456
block,160,frequent-small,0,0,1709,10000,57,934,957,4497,6972,586009,574540,250.0,1,2,23,5456,4369,27,6,80,0,4369,6207,2208,27231,22649,73,289891,288386,53,578969,577117,,True,18,432
block,160,reference,0,0,1700,10000,53,927,954,4250,6580,567016,556186,250.0,1,2,22,5612,4552,27,7,80,0,4552,6180,2389,27552,25912,73,278136,276868,65,559976,558516,,True,20,480
block,160,reference,0,0,1701,10000,57,901,924,4051,7236,568788,557501,250.0,1,4,29,5640,4972,31,3,80,0,4972,5788,2209,27444,24080,64,281304,280472,61,561748,559632,,True,28,672
block,160,reference,0,0,1702,10000,60,941,961,4695,6996,571188,559497,250.0,1,2,24,5436,4248,25,6,80,0,4248,6308,2240,26316,21196,58,280680,279396,55,564148,562272,,True,19,440
block,160,reference,0,0,1703,10000,56,894,918,3912,6144,569876,559820,250.0,1,4,22,5652,5224,30,7,80,0,5224,5548,2745,27308,24524,67,281500,280436,64,562836,561812,,True,22,528
block,160,reference,0,0,1704,10000,58,923,945,4204,7200,570848,559444,250.0,1,1,27,5556,4816,30,11,80,0,4816,5860,2425,26508,20168,46,280752,278416,52,563808,561728,,True,23,536
block,160,reference,0,0,1705,10000,55,908,933,3922,6112,566088,556054,250.0,1,2,26,5232,3856,23,9,80,0,3856,6496,2132,26096,23212,64,279488,278480,61,559048,558056,,True,12,288
block,160,reference,0,0,1706,10000,43,932,969,3273,8152,571112,559687,250.0,1,3,27,5196,2992,17,3,80,0,2992,7324,1354,25084,20988,66,279688,277256,47,564072,561040,,True,14,336
block,160,reference,0,0,1707,10000,53,933,960,3547,7832,569168,557789,250.0,1,3,31,5512,4896,31,6,80,0,4896,5736,2411,25844,20076,50,278488,278228,74,562128,559416,,True,23,552
