treatment,seed,ticks,basal,movement,reproduction,supplied,stock_change,peak_population,first_peak_tick,births_by_10,births_by_100,population_at_100,organism_energy_at_100,food_energy_at_100
food-40-cost-0,1000,100,5398,1261,0,6222,-437,88,20,1,17,17,309,6294
food-40-cost-0,1001,100,5249,1317,0,6429,-137,86,23,0,14,14,250,6653
food-40-cost-0,1002,100,5060,1252,0,6212,-100,84,21,0,11,13,177,6763
food-40-cost-0,1003,100,4961,1227,0,6070,-118,83,20,1,11,13,230,6692
food-40-cost-0,1004,100,5139,1251,0,6243,-147,90,15,4,17,13,171,6722
food-40-cost-0,1005,100,5093,1272,0,6054,-311,86,22,0,12,11,194,6535
food-40-cost-0,1006,100,5093,1263,0,6070,-286,82,11,1,11,5,109,6645
food-40-cost-0,1007,100,5095,1247,0,6045,-297,85,18,2,15,12,218,6525
food-40-cost-0,1008,100,4872,1156,0,6077,49,83,11,2,10,13,216,6873
food-40-cost-0,1009,100,4897,1181,0,6258,180,86,17,5,14,12,173,7047
food-40-cost-4,1000,100,5145,1169,60,6186,-188,88,20,1,15,12,232,6620
food-40-cost-4,1001,100,4991,1229,56,6427,151,86,23,0,14,18,294,6897
food-40-cost-4,1002,100,5082,1260,48,6226,-164,84,21,0,12,12,221,6655
food-40-cost-4,1003,100,4871,1191,44,6029,-77,83,20,1,11,15,224,6739
food-40-cost-4,1004,100,5103,1249,84,6160,-276,90,15,4,21,14,220,6544
food-40-cost-4,1005,100,5239,1315,64,6050,-568,86,22,0,16,11,169,6303
food-40-cost-4,1006,100,5195,1307,28,6056,-474,82,11,1,7,11,174,6392
food-40-cost-4,1007,100,5032,1245,52,6052,-277,85,18,2,13,10,162,6601
food-40-cost-4,1008,100,4840,1130,40,6116,106,83,11,2,10,9,192,6954
food-40-cost-4,1009,100,5065,1216,60,6238,-103,86,17,5,15,12,218,6719
food-160-cost-0,1000,100,4827,1168,0,6132,137,80,0,0,0,10,336,6841
food-160-cost-0,1001,100,5046,1279,0,6419,94,80,0,0,0,15,433,6701
food-160-cost-0,1002,100,4821,1179,0,6071,71,80,0,0,0,16,403,6708
food-160-cost-0,1003,100,5146,1300,0,6222,-224,80,0,0,0,21,537,6279
food-160-cost-0,1004,100,4674,1159,0,6166,333,80,0,0,0,13,446,6927
food-160-cost-0,1005,100,4892,1187,0,6137,58,80,0,0,0,12,459,6639
food-160-cost-0,1006,100,4778,1189,0,5972,5,80,0,0,0,9,187,6858
food-160-cost-0,1007,100,4869,1220,0,6019,-70,80,0,0,0,10,279,6691
food-160-cost-0,1008,100,5002,1247,0,6184,-65,80,0,0,0,12,340,6635
food-160-cost-0,1009,100,4853,1163,0,6195,179,80,0,0,0,16,437,6782
food-160-cost-4,1000,100,4827,1168,0,6132,137,80,0,0,0,10,336,6841
food-160-cost-4,1001,100,5046,1279,0,6419,94,80,0,0,0,15,433,6701
food-160-cost-4,1002,100,4821,1179,0,6071,71,80,0,0,0,16,403,6708
food-160-cost-4,1003,100,5146,1300,0,6222,-224,80,0,0,0,21,537,6279
food-160-cost-4,1004,100,4674,1159,0,6166,333,80,0,0,0,13,446,6927
food-160-cost-4,1005,100,4892,1187,0,6137,58,80,0,0,0,12,459,6639
food-160-cost-4,1006,100,4778,1189,0,5972,5,80,0,0,0,9,187,6858
food-160-cost-4,1007,100,4869,1220,0,6019,-70,80,0,0,0,10,279,6691
food-160-cost-4,1008,100,5002,1247,0,6184,-65,80,0,0,0,12,340,6635
food-160-cost-4,1009,100,4853,1163,0,6195,179,80,0,0,0,16,437,6782
stored-40-cost-0,1000,100,6320,1456,0,6148,-1628,317,3,237,237,0,0,5412
stored-40-cost-0,1001,100,6287,1545,0,6528,-1304,318,5,238,238,0,0,5736
stored-40-cost-0,1002,100,6256,1480,0,6264,-1472,317,2,237,237,0,0,5568
stored-40-cost-0,1003,100,6188,1468,0,6212,-1444,316,3,236,236,0,0,5596
stored-40-cost-0,1004,100,6308,1488,0,6284,-1512,318,2,238,238,0,0,5528
stored-40-cost-0,1005,100,6289,1487,0,5956,-1820,317,2,237,237,0,0,5220
stored-40-cost-0,1006,100,6251,1497,0,6008,-1740,317,2,237,237,0,0,5300
stored-40-cost-0,1007,100,6278,1482,0,6040,-1720,319,4,239,239,0,0,5320
stored-40-cost-0,1008,100,6253,1531,0,6328,-1456,318,8,238,238,0,0,5584
stored-40-cost-0,1009,100,6199,1449,0,6192,-1456,318,4,238,238,0,0,5584
stored-40-cost-4,1000,100,5559,1281,856,6212,-1484,294,4,214,214,0,0,5556
stored-40-cost-4,1001,100,5538,1310,860,6468,-1240,295,3,215,215,0,0,5800
stored-40-cost-4,1002,100,5574,1346,836,6232,-1524,289,3,209,209,0,0,5516
stored-40-cost-4,1003,100,5559,1317,872,6284,-1464,298,5,218,218,0,0,5576
stored-40-cost-4,1004,100,5515,1321,876,6180,-1532,299,4,219,219,0,0,5508
stored-40-cost-4,1005,100,5707,1337,836,6064,-1816,289,3,209,209,0,0,5224
stored-40-cost-4,1006,100,5519,1349,868,6008,-1728,297,5,217,217,0,0,5312
stored-40-cost-4,1007,100,5580,1324,872,6072,-1704,298,5,218,218,0,0,5336
stored-40-cost-4,1008,100,5404,1328,872,6148,-1456,298,2,218,218,0,0,5584
stored-40-cost-4,1009,100,5541,1247,900,6312,-1376,305,4,225,225,0,0,5664
stored-160-cost-0,1000,100,7340,1757,0,6184,-2913,80,0,0,0,29,479,3648
stored-160-cost-0,1001,100,7392,1870,0,6480,-2782,80,0,0,0,37,694,3564
stored-160-cost-0,1002,100,7155,1827,0,6208,-2774,80,0,0,0,28,522,3744
stored-160-cost-0,1003,100,7409,1792,0,6232,-2969,80,0,0,0,34,551,3520
stored-160-cost-0,1004,100,7344,1833,0,6164,-3013,80,0,0,0,35,527,3500
stored-160-cost-0,1005,100,7375,1804,0,6064,-3115,80,0,0,0,34,617,3308
stored-160-cost-0,1006,100,7271,1822,0,6020,-3073,80,0,0,0,27,363,3604
stored-160-cost-0,1007,100,7536,1844,0,5968,-3412,80,0,0,0,40,496,3132
stored-160-cost-0,1008,100,7461,1843,0,6384,-2920,80,0,0,0,37,636,3484
stored-160-cost-0,1009,100,7404,1831,0,6232,-3003,80,0,0,0,34,605,3432
stored-160-cost-4,1000,100,7340,1757,0,6184,-2913,80,0,0,0,29,479,3648
stored-160-cost-4,1001,100,7392,1870,0,6480,-2782,80,0,0,0,37,694,3564
stored-160-cost-4,1002,100,7155,1827,0,6208,-2774,80,0,0,0,28,522,3744
stored-160-cost-4,1003,100,7409,1792,0,6232,-2969,80,0,0,0,34,551,3520
stored-160-cost-4,1004,100,7344,1833,0,6164,-3013,80,0,0,0,35,527,3500
stored-160-cost-4,1005,100,7375,1804,0,6064,-3115,80,0,0,0,34,617,3308
stored-160-cost-4,1006,100,7271,1822,0,6020,-3073,80,0,0,0,27,363,3604
stored-160-cost-4,1007,100,7536,1844,0,5968,-3412,80,0,0,0,40,496,3132
stored-160-cost-4,1008,100,7461,1843,0,6384,-2920,80,0,0,0,37,636,3484
stored-160-cost-4,1009,100,7404,1831,0,6232,-3003,80,0,0,0,34,605,3432
