stock,remaining_capacity,renewal,probability_per_thousand,packet,mean_exact,mean,variance_exact,variance,lost_nominal_mean_exact,lost_nominal_mean,positive_probability_exact,positive_probability
20,4,frequent-small,60,1,3/50,0.06,141/2500,0.0564,0,0.0,3/50,0.06
20,4,reference,15,4,3/50,0.06,591/2500,0.2364,0,0.0,3/200,0.015
20,4,rare-large,5,12,1/50,0.02,199/2500,0.0796,1/25,0.04,1/200,0.005
21,3,frequent-small,60,1,3/50,0.06,141/2500,0.0564,0,0.0,3/50,0.06
21,3,reference,15,4,9/200,0.045,5319/40000,0.132975,3/200,0.015,3/200,0.015
21,3,rare-large,5,12,3/200,0.015,1791/40000,0.044775,9/200,0.045,1/200,0.005
22,2,frequent-small,60,1,3/50,0.06,141/2500,0.0564,0,0.0,3/50,0.06
22,2,reference,15,4,3/100,0.03,591/10000,0.0591,3/100,0.03,3/200,0.015
22,2,rare-large,5,12,1/100,0.01,199/10000,0.0199,1/20,0.05,1/200,0.005
23,1,frequent-small,60,1,3/50,0.06,141/2500,0.0564,0,0.0,3/50,0.06
23,1,reference,15,4,3/200,0.015,591/40000,0.014775,9/200,0.045,3/200,0.015
23,1,rare-large,5,12,1/200,0.005,199/40000,0.004975,11/200,0.055,1/200,0.005
24,0,frequent-small,60,1,0,0.0,0,0.0,3/50,0.06,0,0.0
24,0,reference,15,4,0,0.0,0,0.0,3/50,0.06,0,0.0
24,0,rare-large,5,12,0,0.0,0,0.0,3/50,0.06,0,0.0
