seed,mutation_probability,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,ever_genome_values,changed_births,extinction_tick,right_censored,source_seed,replicate,arm,founder_trait,sampled_individual_id,source_founder_id,final_state_sha256
2076,0,10000,59,9464,9485,1281,7804,582568,573483,250.0,1,1,232,1,0,,True,1915,1,ancestor,250,181,72,5adc9056e4bff010486b580928d58a7fdb65905c720410c166032fde14cac7ba
2077,0,10000,0,155,235,0,24576,32868,8292,,0,0,,1,0,117,False,1915,2,sampled,250,181,72,438152f8c5c7fcd5c0911e2c62dd2da8b0587caa71daf51d706aff378141ea75
2077,0,10000,0,155,235,0,24576,32868,8292,,0,0,,1,0,117,False,1915,2,ancestor,250,181,72,438152f8c5c7fcd5c0911e2c62dd2da8b0587caa71daf51d706aff378141ea75
2078,0,10000,0,153,233,0,24576,33004,8428,,0,0,,1,0,180,False,1915,3,sampled,250,181,72,7a2bfc17522c152611094669aade7343ad0ee23e6b0bbe46352701ae1dcff05b
2078,0,10000,0,153,233,0,24576,33004,8428,,0,0,,1,0,180,False,1915,3,ancestor,250,181,72,7a2bfc17522c152611094669aade7343ad0ee23e6b0bbe46352701ae1dcff05b
2079,0,10000,0,162,242,0,24576,32860,8284,,0,0,,1,0,128,False,1915,4,sampled,250,181,72,bc9d32370ca404a38bcc715f44709d47626e48f5c0b8562e9257f85d4658325a
2079,0,10000,0,162,242,0,24576,32860,8284,,0,0,,1,0,128,False,1915,4,ancestor,250,181,72,bc9d32370ca404a38bcc715f44709d47626e48f5c0b8562e9257f85d4658325a
2080,0,10000,0,148,228,0,24576,32964,8388,,0,0,,1,0,119,False,1916,0,sampled,250,189,25,b05fa177ccac8584f8b42de51320261f597e5291d5c292b3b260d524739ed2e9
2080,0,10000,0,148,228,0,24576,32964,8388,,0,0,,1,0,119,False,1916,0,ancestor,250,189,25,b05fa177ccac8584f8b42de51320261f597e5291d5c292b3b260d524739ed2e9
2081,0,10000,0,155,235,0,24576,32924,8348,,0,0,,1,0,121,False,1916,1,sampled,250,189,25,f1ed08ad4e6d91b1c0560f36fc05fd551ec06732ac7e698105a8cce30c61342f
2081,0,10000,0,155,235,0,24576,32924,8348,,0,0,,1,0,121,False,1916,1,ancestor,250,189,25,f1ed08ad4e6d91b1c0560f36fc05fd551ec06732ac7e698105a8cce30c61342f
2082,0,10000,0,149,229,0,24576,32884,8308,,0,0,,1,0,132,False,1916,2,sampled,250,189,25,78b22cfd4c74cf0ad17c47c2f55f141e641b68612ecf7fdb9401c98f8a163686
2082,0,10000,0,149,229,0,24576,32884,8308,,0,0,,1,0,132,False,1916,2,ancestor,250,189,25,78b22cfd4c74cf0ad17c47c2f55f141e641b68612ecf7fdb9401c98f8a163686
2083,0,10000,0,156,236,0,24576,32904,8328,,0,0,,1,0,135,False,1916,3,sampled,250,189,25,7ea5ae8a3f9d385c0d948c5c270fdc9e6ebc8d808f723cb40810aa1af03ffd98
2083,0,10000,0,156,236,0,24576,32904,8328,,0,0,,1,0,135,False,1916,3,ancestor,250,189,25,7ea5ae8a3f9d385c0d948c5c270fdc9e6ebc8d808f723cb40810aa1af03ffd98
2084,0,10000,0,154,234,0,24576,32772,8196,,0,0,,1,0,117,False,1916,4,sampled,250,189,25,e718e7698c1eca20541af7f02cc5f2d4b23a2a96090b982e602e536145cdefe4
2084,0,10000,0,154,234,0,24576,32772,8196,,0,0,,1,0,117,False,1916,4,ancestor,250,189,25,e718e7698c1eca20541af7f02cc5f2d4b23a2a96090b982e602e536145cdefe4
2085,0,10000,0,151,231,0,24576,32836,8260,,0,0,,1,0,160,False,1917,0,sampled,250,5,5,6497fa188701a046dfc9e7eb0b898608afe3e9ba271a8634591f02c9a9bcb69d
2085,0,10000,0,151,231,0,24576,32836,8260,,0,0,,1,0,160,False,1917,0,ancestor,250,5,5,6497fa188701a046dfc9e7eb0b898608afe3e9ba271a8634591f02c9a9bcb69d
2086,0,10000,0,153,233,0,24576,32976,8400,,0,0,,1,0,269,False,1917,1,sampled,250,5,5,c4054439b5f2cdf3bf0e9361b85472512dff4c9c62388f81b28680fc04a7479c
2086,0,10000,0,153,233,0,24576,32976,8400,,0,0,,1,0,269,False,1917,1,ancestor,250,5,5,c4054439b5f2cdf3bf0e9361b85472512dff4c9c62388f81b28680fc04a7479c
2087,0,10000,43,9791,9828,672,8224,576424,567528,250.0,1,1,266,1,0,,True,1917,2,sampled,250,5,5,7ff0336a1d754b366ed27b64709c7c6e0b0560ce59361d5c5caf8b817fb422ee
2087,0,10000,43,9791,9828,672,8224,576424,567528,250.0,1,1,266,1,0,,True,1917,2,ancestor,250,5,5,7ff0336a1d754b366ed27b64709c7c6e0b0560ce59361d5c5caf8b817fb422ee
2088,0,10000,59,9380,9401,1068,6808,582980,575104,250.0,1,1,243,1,0,,True,1917,3,sampled,250,5,5,bebb2cece293318753b596ce378c513644bdadf7d4536d9411ff45d369334060
2088,0,10000,59,9380,9401,1068,6808,582980,575104,250.0,1,1,243,1,0,,True,1917,3,ancestor,250,5,5,bebb2cece293318753b596ce378c513644bdadf7d4536d9411ff45d369334060
2089,0,10000,55,9007,9032,977,7988,580748,571783,250.0,1,1,249,1,0,,True,1917,4,sampled,250,5,5,223e636b2654c151ce4042fb80b48f2a41ea5032d27be08a83bca302347f1e39
2089,0,10000,55,9007,9032,977,7988,580748,571783,250.0,1,1,249,1,0,,True,1917,4,ancestor,250,5,5,223e636b2654c151ce4042fb80b48f2a41ea5032d27be08a83bca302347f1e39
2090,0,10000,86,8606,8600,1478,4836,603892,597578,340.0,1,1,228,1,0,,True,1918,0,sampled,340,193,56,989751eb3ebec326b165a5c6adc04acf4f846d3723b3f1fd8b8e491fde92e0db
2090,0,10000,38,9405,9447,688,7704,581180,572788,250.0,1,1,241,1,0,,True,1918,0,ancestor,250,193,56,e923123871d5d3f2579e1d9a51dcdfc7b6342835043fbdf9386c0599618121fa
2091,0,10000,0,158,238,0,24576,32980,8404,,0,0,,1,0,106,False,1918,1,sampled,340,193,56,7e83abbe67aa48fc3bf797e8271f33f9cfd4d68d0c5c56bee2613f70d26b40a2
2091,0,10000,63,9174,9191,1238,7852,580236,571146,250.0,1,1,235,1,0,,True,1918,1,ancestor,250,193,56,21b453842098e5ecbf7065bc84ceb5a5a8c0f4d20a537a9c14b2f75b5640b963
2092,0,10000,16,8609,8673,233,6208,602912,596471,340.0,1,1,226,1,0,,True,1918,2,sampled,340,193,56,8d6a7c18c9f294a2d04b49a03ac922105de1d912272ad800dedab87b56803443
2092,0,10000,97,9269,9252,2034,7564,580732,571134,250.0,1,1,241,1,0,,True,1918,2,ancestor,250,193,56,762ec412a32222bc58ff9d53b998a56dc2e4795bd58c8309def9f5682a45da51
2093,0,10000,63,8786,8803,1051,2912,600884,596921,340.0,1,1,238,1,0,,True,1918,3,sampled,340,193,56,59b57f43c6f40c1fa1ba95aeb04cb8e0243160fd0882f9b0f83076fb3a3e86f1
2093,0,10000,0,662,742,0,24576,56300,31724,,0,0,,1,0,747,False,1918,3,ancestor,250,193,56,3798dc3eec01be8cd100fc65d8e52f1b4a939879dc0a029d7e547f1ed5414759
2094,0,10000,0,147,227,0,24576,32960,8384,,0,0,,1,0,171,False,1918,4,sampled,340,193,56,daf7709a49aaf12cac395be960d9150cbc1f934b629ea5a1064527559799d1b3
2094,0,10000,63,9475,9492,1191,6872,579676,571613,250.0,1,1,291,1,0,,True,1918,4,ancestor,250,193,56,ba66d0ddd8576299cd9a82bff4198a4f72bed5baad24ae8e18f0b72498800973
2095,0,10000,59,9233,9254,1211,9720,581400,570469,250.0,1,1,234,1,0,,True,1919,0,sampled,250,200,56,e378cc1a26a7a7d19cadf2c900848d78b8857beca0777832e73e24a9deb3c8ab
2095,0,10000,59,9233,9254,1211,9720,581400,570469,250.0,1,1,234,1,0,,True,1919,0,ancestor,250,200,56,e378cc1a26a7a7d19cadf2c900848d78b8857beca0777832e73e24a9deb3c8ab
2096,0,10000,31,9383,9432,643,7572,581344,573129,250.0,1,1,293,1,0,,True,1919,1,sampled,250,200,56,ee02c003dd46eb65dee7c44ca80752736077df18eb573e54434036171dc9430e
2096,0,10000,31,9383,9432,643,7572,581344,573129,250.0,1,1,293,1,0,,True,1919,1,ancestor,250,200,56,ee02c003dd46eb65dee7c44ca80752736077df18eb573e54434036171dc9430e
2097,0,10000,0,161,241,0,24576,32568,7992,,0,0,,1,0,125,False,1919,2,sampled,250,200,56,5e55361816635f646e2494125e5ae6218bf2e19871f316ddcf1ccc0de558b105
2097,0,10000,0,161,241,0,24576,32568,7992,,0,0,,1,0,125,False,1919,2,ancestor,250,200,56,5e55361816635f646e2494125e5ae6218bf2e19871f316ddcf1ccc0de558b105
2098,0,10000,0,2561,2641,0,24576,161312,136736,,0,0,,1,0,2443,False,1919,3,sampled,250,200,56,2351c832fd24973b5635be9b990a50dbcde613e08f8385791a76832324d59635
2098,0,10000,0,2561,2641,0,24576,161312,136736,,0,0,,1,0,2443,False,1919,3,ancestor,250,200,56,2351c832fd24973b5635be9b990a50dbcde613e08f8385791a76832324d59635
2099,0,10000,28,9358,9410,617,7468,581460,573375,250.0,1,1,265,1,0,,True,1919,4,sampled,250,200,56,5f2801b3c6fc0430f2302df701ba4d418af8b9a8350929a62135e052f546fb9a
2099,0,10000,28,9358,9410,617,7468,581460,573375,250.0,1,1,265,1,0,,True,1919,4,ancestor,250,200,56,5f2801b3c6fc0430f2302df701ba4d418af8b9a8350929a62135e052f546fb9a
