source_seed,replicate,swap,sampled_population,ancestor_population,status,contrast,sampled_fraction
1912,3,0,73,0,sampled_only,73/40,1
1912,3,1,40,0,sampled_only,1,1
1912,4,0,0,0,both_extinct,0,
1912,4,1,0,0,both_extinct,0,
1913,0,0,0,0,both_extinct,0,
1913,0,1,0,0,both_extinct,0,
1913,1,0,37,0,sampled_only,37/40,1
1913,1,1,0,57,ancestor_only,-57/40,0
1913,2,0,63,0,sampled_only,63/40,1
1913,2,1,41,0,sampled_only,41/40,1
1913,3,0,54,0,sampled_only,27/20,1
1913,3,1,27,0,sampled_only,27/40,1
1913,4,0,0,0,both_extinct,0,
1913,4,1,52,0,sampled_only,13/10,1
1914,0,0,0,0,both_extinct,0,
1914,0,1,0,0,both_extinct,0,
1914,1,0,49,0,sampled_only,49/40,1
1914,1,1,0,49,ancestor_only,-49/40,0
1914,2,0,52,0,sampled_only,13/10,1
1914,2,1,0,52,ancestor_only,-13/10,0
1914,3,0,50,0,sampled_only,5/4,1
1914,3,1,0,50,ancestor_only,-5/4,0
1914,4,0,0,0,both_extinct,0,
1914,4,1,0,0,both_extinct,0,
1915,0,0,0,0,both_extinct,0,
1915,0,1,0,0,both_extinct,0,
1915,1,0,113,0,sampled_only,113/40,1
1915,1,1,0,113,ancestor_only,-113/40,0
1915,2,0,0,65,ancestor_only,-13/8,0
1915,2,1,65,0,sampled_only,13/8,1
1915,3,0,0,0,both_extinct,0,
1915,3,1,0,0,both_extinct,0,
1915,4,0,0,99,ancestor_only,-99/40,0
1915,4,1,99,0,sampled_only,99/40,1
1916,0,0,0,0,both_extinct,0,
1916,0,1,0,0,both_extinct,0,
1916,1,0,0,40,ancestor_only,-1,0
1916,1,1,40,0,sampled_only,1,1
1916,2,0,0,0,both_extinct,0,
1916,2,1,0,0,both_extinct,0,
1916,3,0,0,0,both_extinct,0,
1916,3,1,0,0,both_extinct,0,
1916,4,0,0,0,both_extinct,0,
1916,4,1,0,0,both_extinct,0,
1917,0,0,0,0,both_extinct,0,
1917,0,1,0,0,both_extinct,0,
1917,1,0,0,0,both_extinct,0,
1917,1,1,0,0,both_extinct,0,
1917,2,0,0,0,both_extinct,0,
1917,2,1,0,0,both_extinct,0,
1917,3,0,0,0,both_extinct,0,
1917,3,1,0,0,both_extinct,0,
1917,4,0,0,0,both_extinct,0,
1917,4,1,0,0,both_extinct,0,
