source,parent_index,coordinate,delta,parent_valid,variant_valid,variant_reason,transition,silent_genotype,weights_changed,active_sites_changed,cost_change,behavior_tv
83000,3,8,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83000,3,8,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83000,3,9,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,-35,
83000,3,9,1,False,False,empty_structure,invalid_to_invalid,False,False,False,35,
83000,4,0,-1,True,True,developed,valid_to_valid,False,True,True,0,9/160
83000,4,0,1,True,True,developed,valid_to_valid,False,True,True,0,1/20
83000,4,1,-1,True,True,developed,valid_to_valid,False,True,False,0,0
83000,4,1,1,True,True,developed,valid_to_valid,False,True,False,0,0
83000,4,2,-1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,4,2,1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,4,3,-1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,4,3,1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,4,4,-1,True,True,developed,valid_to_valid,True,False,False,0,0
83000,4,4,1,True,True,developed,valid_to_valid,False,True,True,0,9/160
83000,4,5,-1,True,True,developed,valid_to_valid,False,True,False,0,0
83000,4,5,1,True,True,developed,valid_to_valid,False,True,False,0,0
83000,4,6,-1,True,True,developed,valid_to_valid,True,False,False,0,0
83000,4,6,1,True,True,developed,valid_to_valid,False,True,True,-1,7/80
83000,4,7,-1,True,True,developed,valid_to_valid,True,False,False,0,0
83000,4,7,1,True,True,developed,valid_to_valid,False,True,False,0,0
83000,4,8,-1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,4,8,1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,4,9,-1,True,True,developed,valid_to_valid,False,False,False,-35,0
83000,4,9,1,True,True,developed,valid_to_valid,False,False,False,35,0
83001,0,0,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,0,0,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,0,1,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,0,1,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,0,2,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,0,2,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,0,3,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,0,3,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,0,4,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,0,4,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,0,5,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,0,5,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,0,6,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,0,6,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,0,7,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,0,7,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,0,8,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,0,8,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,0,9,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,-35,
83001,0,9,1,False,False,empty_structure,invalid_to_invalid,False,False,False,35,
83001,1,0,-1,True,True,developed,valid_to_valid,False,False,False,0,0
83001,1,0,1,True,True,developed,valid_to_valid,False,False,False,0,0
83001,1,1,-1,True,True,developed,valid_to_valid,False,False,False,0,0
83001,1,1,1,True,True,developed,valid_to_valid,False,False,False,0,0
83001,1,2,-1,True,True,developed,valid_to_valid,False,True,True,0,13/80
83001,1,2,1,True,True,developed,valid_to_valid,False,True,True,0,0
83001,1,3,-1,True,True,developed,valid_to_valid,False,True,False,0,0
83001,1,3,1,True,True,developed,valid_to_valid,False,True,False,0,0
83001,1,4,-1,True,True,developed,valid_to_valid,False,True,True,0,1/16
83001,1,4,1,True,True,developed,valid_to_valid,False,True,True,0,3/32
83001,1,5,-1,True,True,developed,valid_to_valid,False,True,False,0,0
83001,1,5,1,True,True,developed,valid_to_valid,False,True,False,0,0
83001,1,6,-1,True,True,developed,valid_to_valid,True,False,False,0,0
83001,1,6,1,True,True,developed,valid_to_valid,False,True,True,-1,3/32
83001,1,7,-1,True,True,developed,valid_to_valid,False,True,False,0,0
83001,1,7,1,True,True,developed,valid_to_valid,False,True,False,0,0
83001,1,8,-1,True,True,developed,valid_to_valid,False,False,False,0,0
83001,1,8,1,True,True,developed,valid_to_valid,False,False,False,0,0
83001,1,9,-1,True,True,developed,valid_to_valid,False,True,False,-35,0
83001,1,9,1,True,True,developed,valid_to_valid,False,True,True,34,3/32
83001,2,0,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,2,0,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,2,1,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,2,1,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,2,2,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,2,2,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,2,3,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,2,3,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,2,4,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,2,4,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,2,5,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,2,5,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,2,6,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,2,6,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,2,7,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,2,7,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,2,8,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,2,8,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,2,9,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,-35,
83001,2,9,1,False,False,empty_structure,invalid_to_invalid,False,False,False,35,
83001,3,0,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,3,0,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
