arm,birth_threshold,renewal,food_capacity,seed,attempted_moves,blocked_moves,blocked_fraction,movement_payment_deaths,basal_deaths,basal_paid,movement_paid,birth_paid,food_eaten,births,founder_to_descendant_energy,founder_ending_energy,descendant_ending_energy,population_at_100,alive_at_10000
block,160,rare-large,96,1800,1004,67,0.06673306772908366,0,65,4044,0,0,5016,14,898,1490,1402,29,True
block,160,rare-large,96,1801,992,65,0.0655241935483871,0,63,3969,0,0,4712,10,564,1612,1051,27,True
block,160,rare-large,96,1802,872,46,0.052752293577981654,0,65,3681,0,0,3752,9,565,1111,880,24,True
block,160,rare-large,96,1803,897,59,0.06577480490523968,0,64,3742,0,0,3524,6,327,1185,517,22,True
block,160,rare-large,96,1804,904,38,0.0420353982300885,0,65,3574,0,0,3636,7,489,1287,695,22,True
block,160,rare-large,96,1805,983,101,0.10274669379450661,0,60,4085,0,0,5120,12,730,1734,1221,32,True
block,160,rare-large,96,1806,955,67,0.07015706806282722,0,61,3966,0,0,4452,11,727,1445,961,30,True
block,160,rare-large,96,1807,998,78,0.0781563126252505,0,60,4113,0,0,4656,8,485,1667,796,28,True
block,160,rare-large,96,1808,896,62,0.06919642857142858,0,68,3606,0,0,3764,9,649,1143,935,21,True
block,160,rare-large,96,1809,1000,99,0.099,0,64,3971,0,0,4196,9,647,1293,852,25,True
