arm,birth_threshold,renewal,food_capacity,movement_cost,birth_cost,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,resources_added_by_100,cumulative_uptake_by_100,population_at_100,births_at_100,early_peak_population,first_peak_tick,food_eaten_by_100,food_at_100,organism_energy_at_100,resources_added_by_500,cumulative_uptake_by_500,population_at_500,resources_added_by_5000,cumulative_uptake_by_5000,population_at_5000,resources_added_by_10000,cumulative_uptake_by_10000,active_start_ticks,empty_start_ticks,food_at_active_window_end,resources_added_during_active_start_ticks,cumulative_uptake_at_active_window_end,resources_added_after_extinction,extinction_tick,right_censored,founders_on_food,food_under_founders
block,40,reference,24,0,0,1805,10000,45,9624,9659,889,9400,581176,570887,250.0,1,1,253,5948,6424,8,151,201,23,6424,4644,74,28556,27988,10,286376,283484,65,574136,569856,10000,0,9400,574136,569856,0,,True,17,408
block,40,reference,24,0,0,1806,10000,57,9578,9601,1062,6576,580232,572594,250.0,1,1,296,6056,6388,4,153,208,23,6388,4788,79,27908,27760,14,284764,280972,79,573192,571736,10000,0,6576,573192,571736,0,,True,14,336
block,40,reference,24,0,0,1807,10000,0,166,246,0,24576,32664,8088,,0,0,,5640,6168,0,166,205,23,6168,4592,0,23648,6168,0,25624,6168,0,25624,6168,97,9903,4436,5484,6168,20140,97,False,15,360
block,40,reference,24,0,0,1808,10000,97,9334,9317,1550,4112,584148,578486,250.0,1,1,261,5628,6376,5,149,189,23,6376,4372,45,28768,27812,21,288168,287048,28,577108,578116,10000,0,4112,577108,578116,0,,True,9,216
block,40,reference,24,0,0,1809,10000,60,9404,9424,1125,8352,581952,572475,250.0,1,1,282,6080,6404,2,157,217,23,6404,4796,25,27864,29420,10,286256,282636,38,574912,571680,10000,0,8352,574912,571680,0,,True,19,456
block,40,reference,96,0,0,1800,10000,54,10517,10543,993,5632,617840,611215,250.0,1,1,282,6176,6364,1,168,227,23,6364,4932,28,30700,30560,6,305388,301164,19,610800,610288,10000,0,5632,610800,610288,0,,True,15,360
block,40,reference,96,0,0,1801,10000,116,11224,11188,2203,4832,622136,615101,250.0,1,1,286,6500,6672,13,154,190,23,6672,4948,181,31368,34008,42,308284,309036,120,615096,615384,10000,0,4832,615096,615384,0,,True,18,432
block,40,reference,96,0,0,1802,10000,54,10537,10563,810,5556,622584,616218,250.0,1,1,288,6040,6408,5,153,178,23,6408,4752,74,30856,30252,12,307000,305000,62,615544,615108,10000,0,5556,615544,615108,0,,True,10,240
block,40,reference,96,0,0,1803,10000,0,158,238,0,98304,107224,8920,,0,0,,6284,6912,8,158,185,23,6912,4492,96,30840,7000,0,100184,7000,0,100184,7000,156,9844,7816,9696,7000,90488,156,False,15,360
block,40,reference,96,0,0,1804,10000,40,10672,10712,619,5964,619992,613409,250.0,1,1,269,5900,6608,5,164,184,23,6608,4412,41,30552,28188,5,306664,308220,147,612952,612108,10000,0,5964,612952,612108,0,,True,10,240
block,40,reference,96,0,0,1805,10000,39,10363,10404,650,10428,622468,611390,250.0,1,1,223,6008,6472,3,163,201,23,6472,4656,40,30648,30584,10,307464,304704,108,615428,610120,10000,0,10428,615428,610120,0,,True,17,408
block,40,reference,96,0,0,1806,10000,0,162,242,0,98304,106956,8652,,0,0,,6224,6728,3,162,209,23,6728,4616,16,30488,6732,0,99916,6732,0,99916,6732,108,9892,5088,6700,6732,93216,108,False,14,336
block,40,reference,96,0,0,1807,10000,0,162,242,0,98304,106644,8340,,0,0,,5800,6392,5,162,206,23,6392,4528,51,30812,6420,0,99604,6420,0,99604,6420,134,9866,6728,8028,6420,91576,134,False,15,360
block,40,reference,96,0,0,1808,10000,70,10825,10835,1339,7440,622516,613737,250.0,1,1,292,5856,6568,6,157,185,23,6568,4408,72,30744,30572,14,307192,301376,38,615476,613156,10000,0,7440,615476,613156,0,,True,9,216
block,40,reference,96,0,0,1809,10000,0,162,242,0,98304,107044,8740,,0,0,,6252,6684,6,162,217,23,6684,4688,78,30840,6820,0,100004,6820,0,100004,6820,166,9834,8604,10304,6820,89700,166,False,19,456
block,40,rare-large,24,0,0,1800,10000,0,6821,6901,0,24576,394732,370156,,0,0,,6164,6648,8,162,213,23,6648,4636,160,26124,25100,20,251376,248840,56,387692,368236,7452,2548,9996,373112,368236,14580,7452,False,15,360
block,40,rare-large,24,0,0,1801,10000,32,9234,9282,661,8064,508488,499763,250.0,1,1,307,6208,6720,9,164,208,23,6720,4608,105,26208,27044,36,249608,245156,31,501448,498504,10000,0,8064,501448,498504,0,,True,18,432
block,40,rare-large,24,0,0,1802,10000,42,9333,9371,675,6960,506488,498853,250.0,1,1,326,5652,6600,8,160,169,23,6600,4172,147,26360,25496,14,249400,248928,39,499448,497608,10000,0,6960,499448,497608,0,,True,10,240
block,40,rare-large,24,0,0,1803,10000,34,9260,9306,630,7284,509336,501422,250.0,1,1,315,5516,6436,12,149,176,23,6436,4200,226,22212,16904,172,249672,248052,31,502296,500132,10000,0,7284,502296,500132,0,,True,15,360
block,40,rare-large,24,0,0,1804,10000,0,151,231,0,24576,32664,8088,,0,0,,5236,6100,7,151,175,23,6100,4256,102,20436,6168,0,25624,6168,0,25624,6168,155,9845,7368,8416,6168,17208,155,False,10,240
block,40,rare-large,24,0,0,1805,10000,0,156,236,0,24576,33196,8620,,0,0,,6052,6544,11,155,195,23,6544,4628,131,21368,6700,0,26156,6700,0,26156,6700,178,9822,8972,10552,6700,15604,178,False,17,408
block,40,rare-large,24,0,0,1806,10000,41,9131,9170,730,8508,510596,501358,250.0,1,1,349,5752,5880,6,146,196,23,5880,4992,131,24592,24800,62,252432,248828,16,503556,500168,10000,0,8508,503556,500168,0,,True,14,336
block,40,rare-large,24,0,0,1807,10000,0,157,237,0,24576,32740,8164,,0,0,,4928,6032,5,155,194,23,6032,4016,67,20692,6244,0,25700,6244,0,25700,6244,192,9808,9180,10304,6244,15396,192,False,15,360
block,40,rare-large,24,0,0,1808,10000,0,602,682,0,24576,54952,30376,,0,0,,5672,6488,12,147,178,23,6488,4304,202,24580,26524,123,47912,28456,0,47912,28456,624,9376,7756,31092,28456,16820,624,False,9,216
block,40,rare-large,24,0,0,1809,10000,0,158,238,0,24576,32856,8280,,0,0,,6068,6200,4,157,210,23,6200,4988,86,20820,6360,0,25816,6360,0,25816,6360,196,9804,9624,10864,6360,14952,196,False,19,456
block,40,rare-large,96,0,0,1800,10000,0,5833,5913,0,98304,384188,285884,,0,0,,6324,6540,3,168,211,23,6540,4904,18,31776,31256,16,306144,283964,0,377148,283964,4762,5238,11996,290840,283964,86308,4762,False,15,360
block,40,rare-large,96,0,0,1801,10000,0,161,241,0,98304,106848,8544,,0,0,,6432,6572,5,160,213,23,6572,4980,82,32148,6624,0,99808,6624,0,99808,6624,151,9849,8000,9504,6624,90304,151,False,18,432
block,40,rare-large,96,0,0,1802,10000,0,159,239,0,98304,106920,8616,,0,0,,6084,6508,10,158,169,23,6508,4696,146,31248,6696,0,99880,6696,0,99880,6696,205,9795,11060,12636,6696,87244,205,False,10,240
block,40,rare-large,96,0,0,1803,10000,0,2409,2489,0,98304,214272,115968,,0,0,,5976,6624,13,163,178,23,6624,4472,136,30492,30900,24,207052,114048,0,207232,114048,2001,7999,12860,121788,114048,85444,2001,False,15,360
