arm,birth_threshold,renewal,food_capacity,movement_cost,birth_cost,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,resources_added_by_100,cumulative_uptake_by_100,population_at_100,births_at_100,early_peak_population,first_peak_tick,food_eaten_by_100,food_at_100,organism_energy_at_100,resources_added_by_500,cumulative_uptake_by_500,population_at_500,resources_added_by_5000,cumulative_uptake_by_5000,population_at_5000,resources_added_by_10000,cumulative_uptake_by_10000,active_start_ticks,empty_start_ticks,food_at_active_window_end,resources_added_during_active_start_ticks,cumulative_uptake_at_active_window_end,resources_added_after_extinction,extinction_tick,right_censored,founders_on_food,food_under_founders
block,160,frequent-small,96,0,0,1808,10000,57,1057,1080,4348,6570,621366,610448,250.0,1,4,36,6106,4176,26,12,80,0,4176,7050,2310,30983,27705,88,307376,304251,71,614326,612876,10000,0,6570,614326,612876,0,,True,9,216
block,160,frequent-small,96,0,0,1809,10000,68,1085,1097,5089,6578,621583,609916,250.0,1,4,27,6138,4637,28,9,80,0,4637,6621,2430,30588,25421,74,306598,304791,59,614543,613085,10000,0,6578,614543,613085,0,,True,19,456
block,160,reference,24,0,0,1800,10000,46,916,950,3667,8264,563916,551985,250.0,1,3,24,5508,4348,24,8,80,0,4348,6280,2337,26732,22748,63,278204,275980,52,556876,553732,10000,0,8264,556876,553732,0,,True,15,360
block,160,reference,24,0,0,1801,10000,52,917,945,4001,7332,569300,557967,250.0,1,1,28,5684,3664,20,3,80,0,3664,7140,1799,26804,23508,68,278900,277380,53,562260,560048,10000,0,7332,562260,560048,0,,True,18,432
block,160,reference,24,0,0,1802,10000,51,909,938,3492,7300,569760,558968,250.0,1,3,32,5188,3528,23,7,80,0,3528,6780,1765,26428,23528,70,279632,278288,56,562720,560540,10000,0,7300,562720,560540,0,,True,10,240
block,160,reference,24,0,0,1803,10000,66,928,942,5305,6392,569000,557303,250.0,1,2,30,5488,3820,23,7,80,0,3820,6788,1925,25940,21168,59,278412,277080,65,561960,560688,10000,0,6392,561960,560688,0,,True,15,360
block,160,reference,24,0,0,1804,10000,58,918,940,4401,6740,567092,555951,250.0,1,3,28,5112,3420,19,4,80,0,3420,6812,1796,25804,21956,67,279148,277320,56,560052,558432,10000,0,6740,560052,558432,0,,True,10,240
block,160,reference,24,0,0,1805,10000,59,904,925,4043,6584,568380,557753,250.0,1,3,22,5224,4360,27,6,80,0,4360,5984,2238,25708,20284,53,277552,275176,56,561340,559876,10000,0,6584,561340,559876,0,,True,17,408
block,160,reference,24,0,0,1806,10000,59,893,914,4761,7036,566444,554647,250.0,1,1,28,5372,4268,25,8,80,0,4268,6224,2198,25868,20756,56,277840,276240,63,559404,557488,10000,0,7036,559404,557488,0,,True,14,336
block,160,reference,24,0,0,1807,10000,62,939,957,4782,5924,569212,558506,250.0,1,2,28,5180,4160,23,6,80,0,4160,6140,2201,27284,24836,76,280160,278812,59,562172,561368,10000,0,5924,562172,561368,0,,True,15,360
block,160,reference,24,0,0,1808,10000,53,911,938,4298,7212,568704,557194,250.0,1,2,27,5156,3352,18,6,80,0,3352,6924,1709,26596,24812,77,279100,276464,56,561664,559572,10000,0,7212,561664,559572,0,,True,9,216
block,160,reference,24,0,0,1809,10000,61,925,944,4223,6432,565856,555201,250.0,1,1,30,5388,4268,24,6,80,0,4268,6240,2060,26644,23500,67,278360,277396,61,558816,557504,10000,0,6432,558816,557504,0,,True,19,456
block,160,reference,96,0,0,1800,10000,61,1127,1146,4315,7808,618476,606353,250.0,1,2,30,6232,4272,25,8,80,0,4272,7080,2210,30672,27348,85,305240,303008,58,611436,608748,10000,0,7808,611436,608748,0,,True,15,360
block,160,reference,96,0,0,1801,10000,64,1111,1127,4094,6200,621284,610990,250.0,1,2,23,6516,4312,27,10,80,0,4312,7324,2234,31164,27952,85,307756,305724,55,614244,613164,10000,0,6200,614244,613164,0,,True,18,432
block,160,reference,96,0,0,1802,10000,59,1155,1176,4782,6444,623144,611918,250.0,1,2,29,6008,3988,26,8,80,0,3988,7140,2115,30708,23540,61,307028,305532,61,616104,614780,10000,0,6444,616104,614780,0,,True,10,240
block,160,reference,96,0,0,1803,10000,59,1179,1200,3948,7048,621380,610384,250.0,1,2,27,6260,3984,22,7,80,0,3984,7396,2069,31104,25936,83,307384,304752,65,614340,612412,10000,0,7048,614340,612412,0,,True,15,360
block,160,reference,96,0,0,1804,10000,62,1138,1156,5151,7164,619900,607585,250.0,1,1,30,5916,4332,25,11,80,0,4332,6704,2505,30784,26272,78,306696,305028,52,612860,610816,10000,0,7164,612860,610816,0,,True,10,240
block,160,reference,96,0,0,1805,10000,63,1165,1182,4728,7644,622900,610528,250.0,1,1,29,5820,4616,28,7,80,0,4616,6324,2443,30364,28636,88,307352,305576,68,615860,613336,10000,0,7644,615860,613336,0,,True,17,408
block,160,reference,96,0,0,1806,10000,59,1106,1127,4302,6560,623104,612242,250.0,1,1,30,6208,4720,30,15,80,0,4720,6608,2618,30624,24784,67,307860,306012,67,616064,614624,10000,0,6560,616064,614624,0,,True,14,336
block,160,reference,96,0,0,1807,10000,59,1151,1172,4811,7332,621084,608941,250.0,1,2,31,5912,5076,31,12,80,0,5076,5956,2878,30716,22940,51,307216,305828,60,614044,611832,10000,0,7332,614044,611832,0,,True,15,360
block,160,reference,96,0,0,1808,10000,61,1112,1131,5139,7764,621272,608369,250.0,1,2,27,5948,4280,25,12,80,0,4280,6788,2520,30932,28340,78,306712,305208,67,614232,611588,10000,0,7764,614232,611588,0,,True,9,216
